Date,Close,High,Low,Open,Volume,date
,MSFT,MSFT,MSFT,MSFT,MSFT,
2024-05-17,417.01275634765625,419.7021586835379,414.84935049574557,419.32504512881616,15352200,2024-05-17
2024-05-20,422.1037292480469,423.52284159685394,416.7944295178616,417.0127568242458,16272100,2024-05-20
2024-05-21,425.775634765625,429.67572588260487,421.61751218118434,423.5824278629751,21453300,2024-05-21
2024-05-22,427.24432373046875,429.1199579656232,423.8801327186548,426.8176027078419,18073700,2024-05-22
2024-05-23,423.7510986328125,430.30088747906075,422.1831336543051,429.6756760944335,17211700,2024-05-23
2024-05-24,426.8870849609375,427.7802311569624,421.180834455013,423.9396813142882,11845800,2024-05-24
2024-05-28,427.04583740234375,427.5420330592199,423.35414050377034,426.3610849730244,15718000,2024-05-28
2024-05-29,425.9046325683594,427.66115445230247,422.4510995765547,422.4510995765547,15517100,2024-05-29
2024-05-30,411.5149230957031,421.071626093263,411.08817181006793,421.071626093263,28424800,2024-05-30
2024-05-31,411.971435546875,413.5791047255822,401.43224401056676,413.5791047255822,47995300,2024-05-31
2024-06-03,410.3736572265625,413.2615196687407,405.8086812773789,412.3683735171778,17484700,2024-06-03
2024-06-04,412.904296875,413.27147684716857,406.56290129495756,409.2919776436919,14348900,2024-06-04
2024-06-05,420.78387451171875,420.8533188907335,413.1325152430589,414.6310359031759,16988000,2024-06-05
2024-06-06,421.2899475097656,422.07394512362515,417.37992333025653,420.7838485363347,14861300,2024-06-06
2024-06-07,420.6250915527344,423.03659533238357,419.78155282449774,422.9572173477245,13621700,2024-06-07
2024-06-10,424.6144714355469,424.82286513391676,420.66477334419267,421.4686078947135,14003000,2024-06-10
2024-06-11,429.38787841796875,429.5268277427762,422.01441801832095,422.24267892962746,14551100,2024-06-11
2024-06-12,437.7041320800781,440.0263242349242,429.9535579589742,432.00781534858527,22366200,2024-06-12
2024-06-13,438.2201843261719,440.01644063600304,436.02700779586485,437.49575798146077,15960600,2024-06-13
2024-06-14,439.2026672363281,439.7683376003339,433.39717151476515,434.94529966913103,13582000,2024-06-14
2024-06-17,444.9585266113281,447.5089797746042,437.3667384679764,439.22250553797545,20790000,2024-06-17
2024-06-18,442.9439697265625,446.7150751827561,441.50502038116036,446.28832386783046,17112500,2024-06-18
2024-06-20,442.308837890625,443.1325093875715,437.9125211824865,442.90424847377636,19877400,2024-06-20
2024-06-21,446.3577880859375,447.1516890658263,443.112679216781,443.9760548608899,34486200,2024-06-21
2024-06-24,444.2638854980469,449.3052206448714,443.0134626029418,446.37765380757656,15913700,2024-06-24
2024-06-25,447.5188903808594,447.98531552571586,443.3508346061679,444.8394216277891,16747500,2024-06-25
2024-06-26,448.71966552734375,450.1487114593878,444.7798707523325,445.5837053034348,16507000,2024-06-26
2024-06-27,449.4044189453125,452.6991654227889,448.3326193512516,448.7395034299803,14806300,2024-06-27
2024-06-28,443.5493469238281,451.9151991305475,443.0134470896372,449.6227774267188,28362300,2024-06-28
2024-07-01,453.2549133300781,453.8900280472802,442.2691337894114,445.2463078469115,17662800,2024-07-01
2024-07-02,455.7854919433594,456.0931308349297,449.6624240698802,449.75176594132466,13979800,2024-07-02
2024-07-03,457.26416015625,457.5122579984809,454.39616484845857,454.70380374999445,9932800,2024-07-03
2024-07-05,464.00250244140625,464.78650009669735,455.4778642825478,456.1129790053472,16000300,2024-07-05
2024-07-08,462.69256591796875,464.14147919648303,460.92611040198074,463.0002048353039,12962300,2024-07-08
2024-07-09,456.0435485839844,463.7742557192127,454.51525736098597,463.4467798855468,17207200,2024-07-09
2024-07-10,462.7024841308594,462.91087784219644,455.36869724486377,457.71075666628917,18196100,2024-07-10
2024-07-11,451.2403564453125,461.24364787201716,448.1142994819232,459.4573555661208,23111200,2024-07-11
2024-07-12,450.0990905761719,452.8877078833818,447.22116168053736,450.8731546278995,16324300,2024-07-12
2024-07-15,450.5060119628906,453.7809219031339,447.99526281806254,449.851029974842,14429400,2024-07-15
2024-07-16,446.09979248046875,450.84342238707205,443.26156747821994,450.764044396858,17175700,2024-07-16
2024-07-17,440.1454162597656,441.46531376189114,435.8384412822571,439.22249954002416,21778000,2024-07-17
2024-07-18,437.0193786621094,441.2668124744543,431.0948010273652,440.95917357547034,20794800,2024-07-18
2024-07-19,433.7841796875,437.7835460054657,428.7130742947466,429.80471086507333,20940400,2024-07-19
2024-07-22,439.5698547363281,441.2172281155517,435.5705185548157,438.4286106688719,15808800,2024-07-22
2024-07-23,441.46533203125,444.9784061601368,439.7286470352855,440.52254806214466,13107100,2024-07-23
2024-07-24,425.63665771484375,438.12095826115956,424.3366274271562,437.0987963490377,26805800,2024-07-24
2024-07-25,415.216552734375,426.52980855641556,414.3333401430881,425.5374171635106,29943800,2024-07-25
2024-07-26,422.0342712402344,425.6565240052853,414.0951402007918,415.0180872010169,23583800,2024-07-26
2024-07-29,423.483154296875,428.86189823317073,421.4686011505227,428.29622791841,15125800,2024-07-29
2024-07-30,419.7021789550781,425.7855127211385,414.18445497765873,424.4656455012434,32687600,2024-07-30
2024-07-31,415.1669616699219,418.57085701348217,409.07366373993483,417.30059719182844,42891400,2024-07-31
2024-08-01,413.9363708496094,424.20762810841023,409.9469682421122,417.58839429377997,30296400,2024-08-01
2024-08-02,405.3819274902344,411.84240478431724,401.2635094994672,409.35149283755305,29437900,2024-08-02
2024-08-05,392.1434326171875,397.9886321568055,382.6462402085907,386.20895177644206,40709200,2024-08-05
2024-08-06,396.56951904296875,402.5834388839359,395.4679791086585,396.9565662320286,24946500,2024-08-06
2024-08-07,395.39849853515625,406.95985229689995,394.44581127033643,405.53083654236127,20650900,2024-08-07
2024-08-08,399.6260986328125,402.77196243732243,396.8970222599762,399.3780007807365,20203000,2024-08-08
2024-08-09,402.93072509765625,404.945278327108,399.1993542150353,400.9558760021183,19276700,2024-08-09
2024-08-12,403.7147521972656,405.64992758545134,401.1642989727411,403.9628500529108,16762900,2024-08-12
2024-08-13,410.8599548339844,411.79280513110314,406.4537347921751,406.47357171655057,19414300,2024-08-13
2024-08-14,413.6882629394531,414.54173528870035,409.3118435327495,411.64393908583247,18267000,2024-08-14
2024-08-15,418.5796203613281,418.6591414148161,415.22923848625584,417.35676799168647,20752100,2024-08-15
2024-08-16,416.0345458984375,418.8878379189571,414.87134183677813,418.15215435686315,22775600,2024-08-16
2024-08-19,419.0767517089844,419.2954725526047,414.03625113553215,416.52170147668573,15234000,2024-08-19
2024-08-20,422.32769775390625,423.3815262412174,419.18611531171354,419.24576369099765,16387600,2024-08-20
2024-08-21,421.6715393066406,423.91836557959886,419.26561024554667,421.6118605911061,16067300,2024-08-21
2024-08-22,413.13153076171875,424.30613578026436,412.1969990352219,421.8902550651885,19361900,2024-08-22
2024-08-23,414.36431884765625,416.8199448280934,409.69166039420327,414.5532154876874,18493800,2024-08-23
2024-08-26,411.08349609375,414.85144695028356,408.9460150702165,413.94673947074824,13152800,2024-08-26
2024-08-27,411.43145751953125,411.9484202096587,407.8623548739229,410.4571501735566,13492900,2024-08-27
2024-08-28,408.2103576660156,412.58474406521935,404.939496621488,412.46544730687265,14882700,2024-08-28
2024-08-29,410.7156982421875,419.5937196899045,408.21037518945246,412.52511339470357,17045200,2024-08-29
2024-08-30,414.7122802734375,415.0602190186727,409.7314285183125,413.18123450252676,24308300,2024-08-30
2024-09-03,407.0570983886719,417.43634095322227,404.66112073149435,415.47780496274754,20313600,2024-09-03
2024-09-04,406.5202331542969,408.8466109265116,402.01659855552833,403.5476443909062,15135800,2024-09-04
2024-09-05,406.01318359375,410.69576288507244,403.7663270914325,405.2476455783769,14195500,2024-09-05
